Date,City,Temperature,Humidity,Wind_Speed,Rainfall,Weather
2025-01-01,Mumbai,30,75.0,14,0,Sunny
2025-01-02,Mumbai,75,80.0,12,0,Sunny
2025-01-03,Pune,75,65.0,10,5,Rainy
2025-01-04,Delhi,35,75.0,18,0,Cloudy
2025-01-05,Nashik,28,70.0,16,2,Rainy
2025-01-06,Mumbai,31,78.0,15,0,sunny
2025-01-07,Pune,27,75.0,11,8,Rainy
2025-01-08,Delhi,33,60.0,200,0,Cloudy
2025-01-09,Nashik,29,72.0,13,4,Rainy
2025-01-10,Mumbai,30,75.0,14,0,Sunny
2025-01-11,Pune,26,85.0,9,10,Rainy
2025-01-12,Delhi,34,65.0,15,0,Cloudy
2025-01-13,Nashik,75,68.0,12,0,Snow
2025-01-14,Mumbai,32,76.0,16,0,Sunny
2025-01-15,Pune,25,90.0,8,15,Rainy
2025-01-16,Delhi,36,75.0,14,0,Cloudy
2025-01-17,Nashik,27,70.0,12,4,Sunny
2025-01-18,Mumbai,31,77.0,15,0,Sunny
2025-01-19,Pune,29,82.0,10,6,Rainy
2025-01-20,Delhi,38,55.0,17,0,Cloudy
2025-01-21,Nashik,26,75.0,11,3,Rainy
2025-01-22,Mumbai,75,79.0,14,0,Sunny
2025-01-23,Pune,28,88.0,9,12,rainy
2025-01-24,Delhi,37,45.0,16,0,Cloudy
2025-01-25,Nashik,30,73.0,13,1,Sunny
2025-01-26,Mumbai,32,81.0,15,0,SUNNY
2025-01-27,Pune,24,95.0,7,20,Rainy
2025-01-28,Delhi,39,75.0,19,0,Cloudy
2025-01-29,Nashik,27,68.0,12,4,Rainy
2025-01-30,Mumbai,31,76.0,14,0,Sunny
2025-01-31,Pune,26,86.0,16,9,Rainy
2025-02-01,Delhi,35,64.0,15,0,Cloudy
2025-02-02,Nashik,29,71.0,13,2,Rainy
2025-02-03,Mumbai,33,78.0,16,0,Sunny
2025-02-04,Pune,75,92.0,8,14,Rainy
2025-02-05,Delhi,40,70.0,20,0,Cloudy
2025-02-06,Nashik,31,74.0,13,1,Sunny
2025-02-07,Mumbai,34,82.0,15,0,Sunny
2025-02-08,Pune,23,97.0,6,25,Rainy
2025-02-09,Delhi,36,60.0,18,0,Cloudy
2025-02-10,Nashik,28,69.0,12,3,Rainy
2025-02-11,Mumbai,32,77.0,14,0,Sunny
2025-02-12,Pune,75,89.0,8,15,Rainy
2025-02-13,Delhi,41,50.0,22,0,Cloudy
2025-02-14,Nashik,30,72.0,11,2,Sunny
2025-02-15,Mumbai,33,80.0,15,0,sunny
2025-02-16,Pune,26,91.0,7,18,Rainy
2025-02-17,Delhi,34,66.0,16,0,Cloudy
2025-02-18,Nashik,29,70.0,13,5,Rainy
2025-02-19,Mumbai,31,76.0,14,0,Sunny
2025-02-20,Pune,27,84.0,10,7,Rainy
2025-02-21,Delhi,36,61.0,17,0,Cloudy
2025-02-22,Nashik,28,75.0,12,4,Rainy
2025-02-23,Mumbai,35,79.0,15,0,SUNNY
2025-02-24,Pune,25,93.0,9,20,Rainy
2025-02-25,Delhi,37,58.0,18,0,Cloudy
2025-02-26,Nashik,27,67.0,12,1,Rainy
2025-02-27,Mumbai,32,76.0,14,0,Sunny
2025-02-28,Pune,24,98.0,8,30,Rainy
2025-03-01,Delhi,39,52.0,21,0,Cloudy
2025-03-02,Nashik,26,73.0,11,2,Rainy
2025-03-03,Mumbai,31,78.0,15,0,Sunny
2025-03-04,Pune,29,86.0,10,6,Rainy
2025-03-05,Delhi,42,55.0,23,0,Cloudy
2025-03-06,Nashik,30,71.0,13,2,Sunny
2025-03-07,Mumbai,33,80.0,16,0,Sunny
2025-03-08,Pune,22,96.0,7,35,Rainy
2025-03-09,Delhi,38,65.0,19,0,Cloudy
2025-03-10,Nashik,29,70.0,12,3,Rainy
2025-03-11,Mumbai,31,77.0,14,0,Sunny
