Date,City,Temperature,Humidity,Wind_Speed,Rainfall,Weather
2025-01-01,Mumbai,30,75,14,0,Sunny
2025-01-02,Mumbai,,80,12,0,Sunny
2025-01-03,Pune,-120,65,10,5,Rainy
2025-01-04,Delhi,35,110,18,0,Cloudy
2025-01-05,Nashik,28,70,,2,Rainy
2025-01-06,Mumbai,31,78,15,0,sunny
2025-01-07,Pune,27,,11,8,Rainy
2025-01-08,Delhi,33,60,200,0,Cloudy
2025-01-09,Nashik,29,72,13,-5,Rainy
2025-01-10,Mumbai,30,75,14,0,Sunny
2025-01-10,Mumbai,30,75,14,0,Sunny
2025/01/11,Pune,26,85,9,10,Rainy
2025-01-12,Delhi,34,65,15,0,Cloudy
2025-01-13,Nashik,N/A,68,12,0,Snow
2025-01-14,Mumbai,32,76,16,0,Sunny
2025-01-15,Pune,25,90,8,15,Rainy
2025-01-16,Delhi,36,105,14,0,Cloudy
2025-01-17,Nashik,27,70,12,abc,Sunny
2025-01-18,Mumbai,31,77,15,0,Sunny
2025-01-19,Pune,29,82,10,6,Rainy
2025-01-20,Delhi,38,55,17,0,Cloudy
2025-01-21,Nashik,26,75,11,3,Rainy
2025-01-22,Mumbai,NaN,79,14,0,Sunny
2025-01-23,Pune,28,88,9,12,rainy
2025-01-24,Delhi,37,45,16,0,Cloudy
2025-01-25,Nashik,30,73,13,1,Sunny
2025-01-26,Mumbai,32,81,15,0,SUNNY
2025-01-27,Pune,24,95,7,20,Rainy
2025-01-28,Delhi,39,120,19,0,Cloudy
2025-01-29,Nashik,27,68,12,4,Rainy
2025-01-30,Mumbai,31,76,14,0,Sunny
2025-01-31,Pune,26,86,,9,Rainy
2025-02-01,Delhi,35,64,15,0,Cloudy
2025-02-02,Nashik,29,71,13,2,Rainy
2025-02-03,Mumbai,33,78,16,0,Sunny
2025-02-04,Pune,-50,92,8,14,Rainy
2025-02-05,Delhi,40,70,20,0,Cloudy
2025-02-06,Nashik,31,74,13,1,Sunny
2025-02-07,Mumbai,34,82,15,0,Sunny
2025-02-08,Pune,23,97,6,25,Rainy
2025-02-09,Delhi,36,60,18,0,Cloudy
2025-02-10,Nashik,28,69,12,3,Rainy
2025-02-11,Mumbai,32,77,14,0,Sunny
2025-02-12,Pune,,89,8,15,Rainy
2025-02-13,Delhi,41,50,22,0,Cloudy
2025-02-14,Nashik,30,72,11,2,Sunny
2025-02-15,Mumbai,33,80,15,0,sunny
2025-02-16,Pune,26,91,7,18,Rainy
2025-02-17,Delhi,34,66,16,0,Cloudy
2025-02-18,Nashik,29,70,13,5,Rainy
2025-02-19,Mumbai,31,76,14,0,Sunny
2025-02-20,Pune,27,84,10,7,Rainy
2025-02-21,Delhi,36,61,17,0,Cloudy
2025-02-22,Nashik,28,75,12,4,Rainy
2025-02-23,Mumbai,35,79,15,0,SUNNY
2025-02-24,Pune,25,93,9,20,Rainy
2025-02-25,Delhi,37,58,18,0,Cloudy
2025-02-26,Nashik,27,67,12,1,Rainy
2025-02-27,Mumbai,32,76,14,0,Sunny
2025-02-28,Pune,24,98,8,30,Rainy
2025-03-01,Delhi,39,52,21,0,Cloudy
2025-03-02,Nashik,26,73,11,2,Rainy
2025-03-03,Mumbai,31,78,15,0,Sunny
2025-03-04,Pune,29,86,10,6,Rainy
2025-03-05,Delhi,42,55,23,0,Cloudy
2025-03-06,Nashik,30,71,13,2,Sunny
2025-03-07,Mumbai,33,80,16,0,Sunny
2025-03-08,Pune,22,96,7,35,Rainy
2025-03-09,Delhi,38,65,19,0,Cloudy
2025-03-10,Nashik,29,70,12,3,Rainy
2025-03-11,Mumbai,31,77,14,0,Sunny
